"","PARK","BOROUGH","SIZE.(ACRES)","CATEGORY","MURDER","RAPE","ROBBERY","FELONY.ASSAULT","BURGLARY","GRAND.LARCENY","GRAND.LARCENY.OF.MOTOR.VEHICLE","TOTAL","Quarter","Year"
"1","PELHAM BAY PARK","BRONX        ",2771.747,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"2","VAN CORTLANDT PARK","BRONX        ",1146.43,"ONE ACRE OR LARGER",0,0,0,0,1,0,0,1,"Q1",2015
"3","ROCKAWAY BEACH AND BOARDWALK","QUEENS       ",1072.564,"ONE ACRE OR LARGER",0,0,1,0,0,0,0,1,"Q1",2015
"4","FRESHKILLS PARK","STATEN ISLAND",913.32,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"5","FLUSHING MEADOWS CORONA PARK","QUEENS       ",897.69,"ONE ACRE OR LARGER",0,0,0,1,1,1,1,4,"Q1",2015
"6","LATOURETTE PARK & GOLF COURSE","STATEN ISLAND",843.97,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"7","MARINE PARK","BROOKLYN     ",798,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"8","BELT PARKWAY/SHORE PARKWAY","BROOKLYN/QUEENS",760.43,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"9","BRONX PARK","BRONX        ",718.373,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"10","FRANKLIN D. ROOSEVELT BOARDWALK AND BEACH","STATEN ISLAND",644.35,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"11","ALLEY POND PARK","QUEENS       ",635.514,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"12","PROSPECT PARK","BROOKLYN     ",526.25,"ONE ACRE OR LARGER",0,0,1,0,0,1,0,2,"Q1",2015
"13","FOREST PARK","QUEENS       ",506.86,"ONE ACRE OR LARGER",0,0,1,0,0,1,0,2,"Q1",2015
